StIDSecID,Sample Number,Rater,StreetName,Begin Location,End Location,Sample Length,Sample Width,Date,Sample Notes,Photos,QA,Special,Sample Area,Alligator L,Alligator M,Alligator H,Block L,Block M,Block H,Distortion L,Distortion M,Distortion H,LongTrans L,LongTrans M,LongTrans H,Patch L,Patch M,Patch H,Raveling L,Raveling M,Raveling H,RuttingDepression L,RuttingDepression M,RuttingDepression H,Weathering L,Weathering M,Weathering H,Calculated PCI
307 - 1175 ,5, QES , BASKING RIDGE AV , DANNA CT , S END ,100,33, 29-09-2019  07:27:33 ,  , IMG_20190929_072806.jpg     IMG_20190929_072848.jpg      ,  , False ,3300,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1650,1650,0,85.12220682720108
308 - 0010 ,1, QES , AVENIDA ESPANA , SANTA TERESA BL , VIA VISTA ,50,44, 27-09-2019  07:31:00 ,  , IMG_20190927_073136.jpg     IMG_20190927_073212.jpg      ,  , False ,2200,0,160,0,0,400,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,1100,1100,0,45.404160971689016
308 - 0010 ,2, QES , AVENIDA ESPANA , SANTA TERESA BL , VIA VISTA ,50,44, 27-09-2019  07:35:55 ,  , IMG_20190927_073426.jpg     IMG_20190927_073512.jpg      ,  , False ,2200,0,80,10,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,1100,1100,0,44.084759165706984
308 - 0020 ,1, QES , AVENIDA ESPANA , VIA VISTA , AVENIDA ROTELLA ,100,36, 27-09-2019  07:37:00 ,  , IMG_20190927_073725.jpg     IMG_20190927_073805.jpg      ,  , False ,3600,0,0,4,0,700,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,1800,1800,0,64.90483496019502
308 - 0020 ,2, QES , AVENIDA ESPANA , VIA VISTA , AVENIDA ROTELLA ,100,36, 27-09-2019  07:44:22 ,  , IMG_20190927_074148.jpg     IMG_20190927_074244.jpg      ,  , False ,3600,0,0,0,0,1300,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1750,1750,60,62.377437573943816
308 - 0020 ,3, QES , AVENIDA ESPANA , VIA VISTA , AVENIDA ROTELLA ,100,36, 27-09-2019  07:44:35 ,  , IMG_20190927_074557.jpg     IMG_20190927_074640.jpg      ,  , False ,3600,0,300,0,0,900,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,1800,1800,0,43.63921604362356
308 - 0030 ,1, QES , AVENIDA ROTELLA , AVENIDA ESPANA , VIA DEL ORO ,100,36, 27-09-2019  07:48:12 ,  , IMG_20190927_074933.jpg     IMG_20190927_075027.jpg      ,  , False ,3600,0,220,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,1800,1800,0,48.62274233931872
308 - 0030 ,2, QES , AVENIDA ROTELLA , AVENIDA ESPANA , VIA DEL ORO ,100,36, 27-09-2019  07:54:55 ,  , IMG_20190927_075310.jpg     IMG_20190927_075415.jpg      ,  , False ,3600,0,150,20,0,0,0,0,0,0,0,130,0,60,0,0,0,0,0,0,0,0,1740,1800,0,46.281194175711995
308 - 0030 ,3, QES , AVENIDA ROTELLA , AVENIDA ESPANA , VIA DEL ORO ,100,36, 27-09-2019  07:55:23 ,  , IMG_20190927_075739.jpg     IMG_20190927_075824.jpg      ,  , False ,3600,0,150,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,1800,1800,0,57.174074112121346
308 - 0030 ,4, QES , AVENIDA ROTELLA , AVENIDA ESPANA , VIA DEL ORO ,100,36, 27-09-2019  08:03:51 ,  , IMG_20190927_080503.jpg     IMG_20190927_080550.jpg      ,  , False ,3600,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,1800,1800,0,73.39116009439678
